SPCD,species,accepted_bin
6007,Acacia koaia,Acacia koaia
6008,Acacia macracantha,Vachellia macracantha
6009,Acacia mangium,Acacia mangium
6010,Acacia mearnsii,Acacia mearnsii
6011,Acacia melanoxylon,Acacia melanoxylon
6012,Acacia muricata,Acacia muricata
6013,Acacia nilotica,Vachellia nilotica
6014,Acacia parramattensis,Acacia parramattensis
6015,Acacia polyacantha,Senegalia polyacantha
6016,Acacia dealbata,Acacia dealbata
6017,Acacia decurrens,Acacia decurrens
6018,Acacia tortuosa,Vachellia tortuosa
6019,Acacia longifolia,Acacia longifolia
6020,Acacia verticillata,Acacia verticillata
6021,Acnistus arborescens,Acnistus arborescens
6023,Acrocomia media,Acrocomia media
6025,Adansonia digitata,Adansonia digitata
6026,Adelia ricinella,Adelia ricinella
6028,Adenanthera pavonina,Adenanthera pavonina
6029,Adenanthera,NA
6032,Aegiphila martinicensis,Aegiphila martinicensis
6034,Afrocarpus falcatus,Afrocarpus falcatus
6035,Afrocarpus gracilior,Afrocarpus gracilior
6036,Agathis australis,Agathis australis
6037,Agathis robusta,Agathis robusta
6042,Aglaia mariannensis,Aglaia mariannensis
6043,Aglaia palauensis,Aglaia mariannensis
6044,Aglaia ponapensis,Aglaia mariannensis
6046,Aglaia samoensis,Aglaia samoensis
6047,Aglaia,NA
6048,Aidia cochinchinensis,Aidia cochinchinensis
6049,Aidia racemosa,Aidia racemosa
6051,Ailanthus,NA
6053,Aiphanes minima,Aiphanes minima
6055,Albizia adinocephala,Albizia adinocephala
6056,Albizia carbonaria,Albizia carbonaria
6057,Albizia chinensis,Albizia chinensis
6058,Albizia falcataria,Falcataria falcata
6059,Albizia lebbeck,Albizia lebbeck
6060,Albizia procera,Albizia procera
6061,Albizia retusa,Albizia retusa
6062,Albizia saponaria,Albizia saponaria
6063,Albizia,NA
6064,Alchornea latifolia,Alchornea latifolia
6066,Alchorneopsis floribunda,Alchorneopsis floribunda
6069,Alectryon macrococcus,Alectryon macrococcum
6073,Alectryon,NA
6075,Aleurites moluccana,Aleurites moluccanus
6077,Aleurites,NA
6078,Aleurites trisperma,Reutealis trisperma
6080,Allophylus crassinervis,Allophylus crassinervis
6082,Allophylus racemosus,Allophylus racemosus
6083,Allophylus,NA
6084,Allophylus ternatus,Allophylus triphyllus
6085,Allophylus timorensis,Allophylus timorensis
6086,Alnus nepalensis,Alnus nepalensis
6088,Alphitonia carolinensis,Alphitonia carolinensis
6089,Alphitonia ponderosa,Alphitonia ponderosa
6090,Alphitonia,NA
6091,Alphitonia zizyphoides,Alphitonia zizyphoides
6092,Alsophila bryophila,NA
6093,Alsophila portoricensis,NA
