SPCD,species,accepted_bin
6710,Conostegia rufescens,Conostegia rufescens
6711,Consolea moniliformis,Consolea moniliformis
6712,Consolea rubescens,Consolea rubescens
6714,Copaifera officinalis,Copaifera officinalis
6716,Coprosma foliosa,Coprosma foliosa
6717,Coprosma kauensis,Coprosma kauensis
6718,Coprosma longifolia,Coprosma longifolia
6719,Coprosma montana,Coprosma montana
6720,Coprosma ochracea,Coprosma ochracea
6721,Coprosma pubens,Coprosma pubens
6722,Coprosma rhynchocarpa,Coprosma rhynchocarpa
6724,Coprosma,NA
6726,Coprosma waimeae,Coprosma waimeae
6728,Cordia alliodora,Cordia alliodora
6729,Cordia aspera,Cordia aspera
6730,Cordia borinquensis,Cordia borinquensis
6731,Cordia collococca,Cordia collococca
6733,Cordia dichotoma,Cordia dichotoma
6735,Cordia laevigata,Cordia laevigata
6736,Cordia micronesica,Cordia micronesica
6737,Cordia obliqua,Cordia dichotoma
6738,Cordia rickseckeri,Cordia rickseckeri
6739,Cordia rupicola,NA
6741,Cordia,NA
6742,Cordia subcordata,Cordia subcordata
6743,Cordia sulcata,Cordia sulcata
6744,Cordyline fruticosa,Cordyline fruticosa
6745,Cordyline,NA
6746,Cornutia obovata,Cornutia obovata
6747,Cornutia pyramidata,Cornutia pyramidata
6748,Cornus drummondii,Cornus drummondii
6749,Corymbia calophylla,Corymbia calophylla
6750,Corymbia citriodora,Corymbia citriodora
6751,Corymbia ficifolia,Corymbia ficifolia
6752,Corymbia gummifera,Corymbia gummifera
6754,Corynocarpus laevigatus,Corynocarpus laevigatus
6755,Corynocarpus,NA
6756,Couroupita guianensis,Couroupita guianensis
6758,Crateva religiosa,Crateva religiosa
6759,Purshia stansburiana,Purshia stansburiana
6760,Crescentia alata,Crescentia alata
6761,Crescentia cujete,Crescentia cujete
6762,Crescentia linearifolia,Crescentia linearifolia
6763,Crescentia portoricensis,Crescentia portoricensis
6765,Critonia portoricensis,Critonia portoricensis
6767,Crossopetalum rhacoma,Crossopetalum rhacoma
6768,Quercus arkansana,Quercus arkansana
6769,Crossostylis biflora,Crossostylis biflora
6771,Crotalaria longirostrata,Crotalaria longirostrata
6772,Croton,NA
6773,Croton astroites,Croton astroites
6774,Croton flavens,Croton flavens
6775,Croton poecilanthus,Croton poecilanthus
6778,Cryptocarya oreophila,Beilschmiedia oreophila
6779,Cryptocarya elegans,Cryptocarya elegans
6781,Cryptocarya mannii,Cryptocarya mannii
6782,Quercus georgiana,Quercus georgiana
6783,Cryptocarya,NA
6784,Cryptocarya turbinata,Cryptocarya turbinata
6785,Quercus havardii,Quercus havardii
6786,Cryptomeria japonica,Cryptomeria japonica
6787,Cryptomeria,NA
6788,Cunninghamia lanceolata,Cunninghamia lanceolata
6790,Cupania americana,Cupania americana
6791,Quercus myrtifolia,Quercus myrtifolia
6792,Cupania triquetra,Cupania triquetra
6794,Quercus petraea,Quercus petraea
6795,Cupressus lusitanica,Cupressus lusitanica
6796,Cupressus sempervirens,Cupressus sempervirens
6797,Quercus robur,Quercus robur
6799,Quercus sinuata,Quercus sinuata
6800,Cyanea aculeatiflora,Cyanea aculeatiflora
6801,Cyanea arborea,Cyanea arborea
6802,Cyanea fissa,Cyanea fissa
6805,Cyanea floribunda,Cyanea floribunda
6806,Cyanea giffardii,Cyanea giffardii
6807,Cyanea hamatiflora,Cyanea hamatiflora
6810,Cyanea hardyi,Cyanea hardyi
6811,Cyanea horrida,Cyanea horrida
6812,Cyanea kuhihewa,Cyanea kuhihewa
6813,Cyanea kunthiana,Cyanea kunthiana
6814,Cyanea leptostegia,Cyanea leptostegia
6815,Cyanea macrostegia,Cyanea macrostegia
6818,Cyanea marksii,Cyanea marksii
6819,Cyanea pilosa,Cyanea pilosa
6822,Cyanea pohaku,Cyanea pohaku
6823,Cyanea procera,Cyanea procera
6824,Cyanea pycnocarpa,Cyanea pycnocarpa
6825,Cyanea quercifolia,Cyanea quercifolia
6826,Cyanea rivularis,Cyanea rivularis
6827,Cyanea solenocalyx,Cyanea solenocalyx
6828,Cyanea,NA
6829,Cyanea stictophylla,Cyanea stictophylla
6830,Cyanea superba,Cyanea superba
6833,Cyanea tritomantha,Cyanea tritomantha
6834,Cyathea andina,NA
6835,Cyathea arborea,NA
6837,Cyathea cooperi,NA
6838,Cyathea decurrens,NA
6839,Cyathea furfuracea,NA
6840,Cyathea lunulata,NA
6841,Cyathea medullaris,NA
6842,Cyathea nigricans,NA
6843,Cyathea parvula,NA
6844,Cyathea ponapeana,NA
6847,Cyathea,NA
6848,Cyathea tenera,NA
6849,Cyathea truncata,NA
6850,Cybianthus sintenisii,Cybianthus sintenisii
6852,Cycas circinalis,NA
6853,Cycas revoluta,NA
6854,Cycas,NA
6855,Cyclophyllum barbatum,Cyclophyllum barbatum
6857,Cynometra portoricensis,Cynometra portoricensis
6858,Cynometra ramiflora,Cynometra ramiflora
6859,Cynometra yokotae,NA
6860,Cyphomandra betacea,Solanum betaceum
6862,Cyrilla racemiflora,Cyrilla racemiflora
6863,Cyrtandra pulchella,NA
6864,Cyrtandra ramosissima,NA
6865,Cyrtandra giffardii,Cyrtandra giffardii
6866,Cyrtandra,NA
6867,Dacryodes excelsa,Dacryodes excelsa
6868,Dalbergia retusa,Dalbergia retusa
6869,Dalbergia sissoo,Dalbergia sissoo
6870,Dalbergia tucurensis,Dalbergia tucurensis
6871,Daphnopsis americana,Daphnopsis americana
6872,Daphnopsis helleriana,Daphnopsis helleriana
6873,Daphnopsis philippiana,Daphnopsis philippiana
6875,Delissea fallax,Delissea fallax
6876,Delissea laciniata,Delissea laciniata
6877,Delissea niihauensis,Delissea niihauensis
6880,Delissea parviflora,Delissea parviflora
6881,Delissea,NA
6882,Delissea undulata,Delissea undulata
6883,Delonix regia,Delonix regia
6884,Delonix,NA
6885,Dendrocnide harveyi,Dendrocnide harveyi
6886,Dendrocnide latifolia,Dendrocnide latifolia
6887,Dendrocnide,NA
6888,Dendropanax arboreus,Dendropanax arboreus
6889,Dendropanax laurifolius,Dendropanax laurifolius
6891,Dictyosperma album,Dictyosperma album
6896,Dillenia indica,Dillenia indica
6898,Dillenia suffruticosa,Dillenia suffruticosa
6899,Dimocarpus longan,Dimocarpus longan
6900,Diospyros blancoi,Diospyros discolor
6902,Diospyros discolor,Diospyros discolor
6903,Diospyros ebenaster,NA
6904,Diospyros elliptica,Diospyros foliosa
6905,Diospyros ferrea,Diospyros vera
6906,Diospyros hillebrandii,Diospyros hillebrandii
6907,Diospyros kaki,Diospyros kaki
6909,Diospyros revoluta,Diospyros nigra
6910,Diospyros samoensis,Diospyros samoensis
6911,Diospyros sandwicensis,Diospyros sandwicensis
6912,Diospyros sintenisii,Diospyros sintenisii
6918,Rhamnus cathartica,Rhamnus cathartica
6921,Discocalyx ponapensis,Discocalyx ponapensis
6923,Ditta myricoides,Ditta myricoides
6924,Rhus typhina,Rhus typhina
6927,Dodonaea viscosa,Dodonaea viscosa
6928,Dolichandrone spathacea,Dolichandrone spathacea
6930,Dovyalis hebecarpa,Dovyalis hebecarpa
6932,Dracaena fragrans,Dracaena fragrans
6933,Dracaena multiflora,Dracaena multiflora
6934,Dracaena reflexa,Dracaena reflexa
6935,Drypetes carolinensis,Drypetes carolinensis
6936,Drypetes dolichocarpa,Drypetes dolichocarpa
6937,Drypetes alba,Drypetes alba
6938,Drypetes glauca,Drypetes glauca
6939,Drypetes ilicifolia,Drypetes ilicifolia
6940,Drypetes lateriflora,Drypetes lateriflora
6941,Drypetes nitida,Drypetes nitida
6942,Drypetes,NA
6943,Drypetes vitiensis,Drypetes vitiensis
6944,Dubautia demissifolia,NA
6945,Dubautia fallax,NA
6946,Dubautia montana,Dubautia reticulata
6947,Dubautia arborea,Dubautia arborea
6948,Dubautia knudsenii,Dubautia knudsenii
6949,Drypetes yapensis,Drypetes yapensis
6952,Dubautia microcephala,Dubautia microcephala
6953,Dubautia plantaginea,Dubautia plantaginea
6954,Salix elaeagnos,Salix eleagnos
6955,Salix fragilis,NA
6957,Dubautia reticulata,Dubautia reticulata
6958,Dubautia,NA
6959,Salix geyeriana,Salix geyeriana
6961,Duranta erecta,Duranta erecta
6963,Salix laevigata,Salix laevigata
6965,Durio zibethinus,Durio zibethinus
6966,Dypsis lutescens,Dypsis lutescens
6967,Salix matsudana,Salix babylonica
6968,Dysoxylum huntii,Dysoxylum huntii
6969,Dysoxylum maota,Dysoxylum gaudichaudianum
6970,Dysoxylum samoense,Dysoxylum mollissimum
6971,Dysoxylum,NA
6972,Dysoxylum mollissimum,Dysoxylum mollissimum
6973,Elaeis guineensis,Elaeis guineensis
6974,Elaeocarpus kusaiensis,Elaeocarpus kusaiensis
6975,Elaeocarpus bifidus,Elaeocarpus bifidus
6976,Elaeocarpus carolinensis,Elaeocarpus carolinensis
6977,Elaeocarpus floridanus,Elaeocarpus floridanus
6978,Elaeocarpus graeffei,Elaeocarpus graeffei
6979,Elaeocarpus grandis,NA
6980,Elaeocarpus joga,Elaeocarpus joga
6981,Elaeocarpus kerstingianus,Elaeocarpus kerstingianus
6982,Elaeocarpus kusanoi,Elaeocarpus kusanoi
6983,Elaeocarpus,NA
6984,Elaeocarpus tonganus,Elaeocarpus tonganus
6985,Elaeocarpus ulianus,Elaeocarpus ulianus
6990,Elattostachys falcata,Elattostachys falcata
6991,Sambucus racemosa,Sambucus racemosa
6992,Eleocharis dulcis,NA
6994,Endiandra elaeocarpa,Endiandra elaeocarpa
6996,Enterolobium cyclocarpum,Enterolobium cyclocarpum
6997,Eriobotrya deflexa,Eriobotrya deflexa
6998,Eriobotrya japonica,Eriobotrya japonica
6999,Eriobotrya,NA
7000,Erithalis fruticosa,Erithalis fruticosa
7003,Erythrina coralloides,Erythrina coralloides
7004,Erythrina berteriana,Erythrina berteroana
7005,Erythrina corallodendron,Erythrina corallodendron
7006,Erythrina crista-galli,Erythrina crista-galli
7007,Erythrina eggersii,Erythrina eggersii
7008,Erythrina fusca,Erythrina fusca
7011,Erythrina poeppigiana,Erythrina poeppigiana
7012,Erythrina sandwicensis,Erythrina sandwicensis
7013,Erythrina,NA
7014,Erythrina subumbrans,Erythrina subumbrans
7015,Erythrina variegata,Erythrina variegata
7016,Erythrina variegata,Erythrina variegata
7017,Erythrospermum acuminatissimum,Erythrospermum acuminatissimum
7019,Erythroxylum areolatum,Erythroxylum areolatum
7021,Erythroxylum rotundifolium,Erythroxylum rotundifolium
7022,Erythroxylum rufum,Erythroxylum rufum
7023,Senna corymbosa,Senna corymbosa
7024,Erythroxylum urbanii,Erythroxylum urbanii
7025,Eucalyptus botryoides,Eucalyptus botryoides
7026,Eucalyptus bridgesiana,Eucalyptus bridgesiana
7028,Eucalyptus cinerea,Eucalyptus cinerea
7030,Eucalyptus cladocalyx,Eucalyptus cladocalyx
7031,Eucalyptus cornuta,Eucalyptus cornuta
7032,Eucalyptus crebra,Eucalyptus crebra
7033,Eucalyptus deanei,Eucalyptus deanei
7034,Eucalyptus deglupta,Eucalyptus deglupta
7035,Eucalyptus cordata,Eucalyptus cordata
7036,Eucalyptus leucoxylon,Eucalyptus leucoxylon
7038,Eucalyptus gomphocephala,Eucalyptus gomphocephala
7039,Eucalyptus goniocalyx,Eucalyptus goniocalyx
7040,Eucalyptus polyanthemos,Eucalyptus polyanthemos
7041,Eucalyptus hemiphloia,Eucalyptus moluccana
7043,Eucalyptus maculata,Corymbia maculata
7044,Eucalyptus marginata,Eucalyptus marginata
7045,Eucalyptus microcorys,Eucalyptus microcorys
7046,Eucalyptus paniculata,Eucalyptus paniculata
7047,Eucalyptus pilularis,Eucalyptus pilularis
7048,Eucalyptus raveretiana,Eucalyptus raveretiana
7049,Eucalyptus resinifera,Eucalyptus resinifera
7051,Eucalyptus rudis,Eucalyptus rudis
7052,Eucalyptus salicifolia,Eucalyptus amygdalina
7053,Eucalyptus saligna,Eucalyptus saligna
7054,Eucalyptus sideroxylon,Eucalyptus sideroxylon
7056,Eucalyptus tereticornis,Eucalyptus tereticornis
7057,Eucalyptus viminalis,Eucalyptus viminalis
7059,Eugenia aquea,Syzygium aqueum
7060,Eugenia axillaris,Eugenia axillaris
7061,Eugenia biflora,Eugenia biflora
7062,Eugenia boqueronensis,Eugenia boqueronensis
7063,Eugenia borinquensis,NA
7065,Eugenia caryophyllus,Syzygium aromaticum
7066,Eugenia confusa,Eugenia confusa
7067,Eugenia cordata,Eugenia cordata
7068,Eugenia cordata,Eugenia cordata
7069,Eugenia corozalensis,Psidium amplexicaule
7071,Eugenia domingensis,Eugenia domingensis
7072,Eugenia eggersii,Eugenia eggersii
7075,Eugenia glabrata,Eugenia glabrata
7076,Eugenia haematocarpa,Eugenia haematocarpa
7078,Eugenia javanica,Syzygium aqueum
7079,Eugenia koolauensis,Eugenia koolauensis
7081,Eugenia ligustrina,Eugenia ligustrina
7082,Eugenia malaccensis,Syzygium malaccense
7083,Styrax grandifolius,Styrax grandifolius
7084,Eugenia monticola,Eugenia monticola
7086,Eugenia nitida,Eugenia selloi
7087,Eugenia palauensis,Syzygium palauense
7088,Eugenia palumbis,Eugenia palumbis
7089,Eugenia procera,Eugenia procera
7090,Eugenia pseudopsidium,Eugenia pseudopsidium
7091,Eugenia reinwardtiana,Eugenia reinwardtiana
7092,Syringa reticulata,Syringa reticulata
7093,Eugenia serrasuela,Eugenia serrasuela
7094,Eugenia sessiliflora,Eugenia sessiliflora
7096,Eugenia,NA
7098,Eugenia stahlii,Eugenia stahlii
7099,Syzygium stelechanthum,Syzygium stelechanthum
7100,Eugenia stewardsonii,Eugenia stewardsonii
7101,Eugenia suzukii,Syzygium samarangense
7102,Eugenia thompsonii,Syzygium thompsonii
7103,Eugenia underwoodii,Eugenia underwoodii
7104,Eugenia uniflora,Eugenia uniflora
7105,Eugenia xerophytica,Mosiera xerophytica
7109,Euphorbia cotinifolia,Euphorbia cotinifolia
7110,Euphorbia haeleeleana,Euphorbia haeleeleana
7111,Euphorbia lactea,Euphorbia lactea
7112,Euphorbia neriifolia,Euphorbia neriifolia
7113,Euphorbia petiolaris,Euphorbia petiolaris
7114,Euphorbia pulcherrima,Euphorbia pulcherrima
7115,Euphorbia,NA
7116,Euphorbia tirucalli,Euphorbia tirucalli
7117,Euphoria longana,Dimocarpus longan
7119,Eurya sandwicensis,Eurya sandwichensis
7120,Eurya,NA
7123,Euodia hortensis,Euodia hortensis
7124,Euodia nitida,Melicope denhamii
7125,Euodia palawensis,NA
7126,Euodia ponapensis,Melicope denhamii
7127,Euodia,NA
7128,Euodia trichantha,Melicope trichantha
7129,Excoecaria agallocha,Excoecaria agallocha
7131,Exocarpos gaudichaudii,Exocarpos gaudichaudii
7132,Exocarpos,NA
7133,Exorrhiza ponapensis,Clinostigma ponapense
7135,Exostema caribaeum,Exostema caribaeum
7136,Exostema ellipticum,Exostema ellipticum
7137,Exostema sanctae-luciae,Exostema sanctae-luciae
7141,Fagraea berteroana,Fagraea berteroana
7142,Fagraea ksid,Fagraea berteroana
7143,Fagraea,NA
7144,Falcataria moluccana,Falcataria falcata
7145,Falcataria,NA
7146,Faramea occidentalis,Faramea occidentalis
7147,Feijoa sellowiana,Acca sellowiana
7148,Ficus americana,Ficus americana
7149,Ficus benghalensis,Ficus benghalensis
7150,Ficus benjamina,Ficus benjamina
7151,Ficus carica,Ficus carica
7152,Ficus copiosa,Ficus copiosa
7153,Ficus auriculata,Ficus auriculata
7154,Ficus drupacea,Ficus drupacea
7155,Ficus elastica,Ficus elastica
7156,Ficus godeffroyi,Ficus godeffroyi
7158,Ficus lutea,Ficus lutea
7159,Ficus lyrata,Ficus lyrata
7160,Ficus microcarpa,Ficus microcarpa
7162,Ficus nota,Ficus nota
7163,Ficus obliqua,Ficus obliqua
7164,Ficus obtusifolia,Ficus obtusifolia
7165,Ficus prolixa,Ficus prolixa
7166,Ficus religiosa,Ficus religiosa
7167,Ficus rubiginosa,Ficus rubiginosa
7168,Ficus saffordii,NA
7169,Ficus scabra,Ficus scabra
7171,Ficus,NA
7173,Ficus stahlii,Ficus crassinervia
7174,Ficus sycomorus,Ficus sycomorus
7175,Ficus thonningii,Ficus thonningii
7176,Ficus tinctoria,Ficus tinctoria
7177,Ficus trigonata,Ficus trigonata
7178,Ficus uniauriculata,Ficus uniauriculata
7179,Ficus virens,Ficus virens
7180,Finschia chloroxantha,Finschia chloroxantha
7181,Firmiana simplex,Firmiana simplex
7182,Fitchia speciosa,Fitchia speciosa
7184,Flacourtia indica,Flacourtia indica
7185,Flacourtia inermis,Flacourtia inermis
7186,Flacourtia rukam,Flacourtia rukam
7188,Flindersia brayleyana,Flindersia brayleyana
7190,Flueggea acidoton,Flueggea acidoton
7191,Flueggea flexuosa,Flueggea flexuosa
7192,Flueggea neowawraea,Flueggea neowawraea
7193,Flueggea,NA
7194,Forestiera eggersiana,Forestiera eggersiana
7195,Forestiera rhamnifolia,Forestiera rhamnifolia
7196,Forestiera segregata,Forestiera segregata
7198,Fortunella margarita,Citrus japonica
7199,Vitex negundo,Vitex negundo
7200,Frangula californica,Frangula californica
7202,Frangula sphaerosperma,Frangula sphaerosperma
7203,Franklinia alatamaha,Franklinia alatamaha
7206,Fraxinus uhdei,Fraxinus uhdei
7207,Fuchsia boliviana,Fuchsia boliviana
7208,Fuchsia paniculata,Fuchsia paniculata
7209,Fuchsia,NA
7210,Funtumia elastica,Funtumia elastica
7211,Persea americana,Persea americana
7212,Garcinia dulcis,Garcinia dulcis
7213,Garcinia hessii,Garcinia hessii
7214,Garcinia mangostana,Garcinia malaccensis
7215,Garcinia matsudai,Garcinia matsudae
7216,Garcinia myrtifolia,Garcinia myrtifolia
7217,Garcinia ponapensis,Garcinia ponapensis
7218,Garcinia portoricensis,Garcinia portoricensis
7219,Garcinia rumiyo,Garcinia rumiyo
7220,Garcinia quadrilocularis,NA
7221,Garcinia,NA
7223,Garcinia xanthochymus,Garcinia xanthochymus
7224,Gardenia brighamii,Gardenia brighamii
7225,Gardenia mannii,Gardenia mannii
7226,Gardenia remyi,Gardenia remyi
7227,Gardenia,NA
7228,Gardenia taitensis,Gardenia taitensis
7229,Garuga floribunda,Garuga floribunda
7231,Gaussia attenuata,Gaussia attenuata
7233,Geniostoma rupestre,Geniostoma rupestre
7235,Genipa americana,Genipa americana
7237,Gesneria pedunculosa,Gesneria pedunculosa
7239,Ginoria rohrii,Ginoria rohrii
7241,Gironniera celtidifolia,Gironniera celtidifolia
7243,Zelkova serrata,Zelkova serrata
7245,Gliricidia sepium,Gliricidia sepium
7246,Ziziphus obtusifolia,Sarcomphalus obtusifolius
7247,Glochidion cuspidatum,Glochidion cuspidatum
7248,Glochidion marianum,Phyllanthus mariannensis
7249,Glochidion ramiflorum,Glochidion ramiflorum
7250,Glochidion,NA
7251,Gmelina elliptica,Gmelina elliptica
7252,Gmelina palawensis,Gmelina palawensis
7253,Gmelina,NA
7254,Gnetum gnemon,Gnetum gnemon
7255,Glycosmis parviflora,Glycosmis parviflora
7256,Goetzea elegans,Goetzea elegans
7257,Glochidion kanehirae,NA
7258,Gomidesia lindeniana,Myrcia fenzliana
7260,Goniothalamus carolinensis,Goniothalamus carolinensis
7262,Gossypium barbadense,Gossypium barbadense
7264,Gossypium hirsutum,NA
7268,Graffenrieda ottoschulzii,Graffenrieda ottoschulzii
7272,Grevillea banksii,Grevillea banksii
7273,Grevillea robusta,Grevillea robusta
7274,Grevillea,NA
7275,Grewia crenata,Grewia crenata
7279,Guaiacum officinale,Guaiacum officinale
7280,Guaiacum sanctum,Guaiacum sanctum
7282,Guamia mariannae,Meiogyne cylindrocarpa
7285,Guapira fragrans,Guapira fragrans
7286,Guapira obtusata,Guapira obtusata
7288,Guarea glabra,Guarea glabra
7290,Guarea guidonia,Guarea guidonia
7294,Guatteria blainii,Guatteria blainii
7295,Guatteria caribaea,Guatteria caribaea
7298,Guazuma ulmifolia,Guazuma ulmifolia
7299,Guettarda elliptica,Guettarda elliptica
7300,Guettarda krugii,Guettarda krugii
7302,Guettarda odorata,Guettarda odorata
7303,Guettarda ovalifolia,Guettarda ovalifolia
7305,Guettarda pungens,Guettarda pungens
7306,Guettarda scabra,Guettarda scabra
7307,Guettarda speciosa,Guettarda speciosa
7309,Guettarda valenzuelana,Guettarda valenzuelana
7311,Guioa rhoifolia,Guioa rhoifolia
7312,Guioa,NA
7313,Gulubia palauensis,Hydriastele palauensis
7315,Gyminda latifolia,Gyminda latifolia
7317,Gymnanthes lucida,Gymnanthes lucida
7319,Gyrocarpus americanus,Gyrocarpus americanus
7321,Haematoxylum campechianum,Haematoxylum campechianum
7327,Haenianthus salicifolius,Haenianthus salicifolius
7328,Halesia tetraptera,Halesia tetraptera
7329,Hamamelis vernalis,Hamamelis vernalis
7330,Hamelia patens,Hamelia patens
7331,Hamamelis virginiana,Hamamelis virginiana
7332,Haplolobus floribundus,Haplolobus floribundus
7333,Harpephyllum caffrum,Harpephyllum caffrum
7334,Harpullia arborea,Harpullia arborea
7335,Havardia pallens,Havardia pallens
7336,Hebestigma cubense,Hebestigma cubense
7338,Hedycarya denticulata,Hedycarya denticulata
7340,Hedycarya,NA
7341,Hedyosmum arborescens,Hedyosmum arborescens
7343,Hedyotis fosbergii,NA
7344,Hedyotis hillebrandii,Kadua axillaris
7345,Hedyotis,NA
7346,Hedyotis terminalis,Kadua affinis
7347,Helicteres jamaicensis,Helicteres jamaicensis
7349,Heliocarpus popayanensis,Heliocarpus americanus
7350,Heliocarpus,NA
7353,Henriettea fascicularis,Henriettella fascicularis
7354,Henriettea macfadyenii,Henriettea macfadyenii
7355,Henriettea membranifolia,Henriettea membranifolia
7357,Henriettea squamulosum,Henriettea squamulosa
7359,Heritiera littoralis,Heritiera littoralis
7360,Heritiera longipetiolata,Heritiera longipetiolata
7362,Heritiera,NA
7363,Hernandia moerenhoutiana,Hernandia moerenhoutiana
7364,Hernandia nymphaeifolia,Hernandia nymphaeifolia
7365,Hernandia ovigera,Hernandia stokesii
7366,Hernandia sonora,Hernandia sonora
7367,Hernandia,NA
7368,Hernandia labyrinthica,Hernandia labyrinthica
7370,Hesperomannia arborescens,Hesperomannia arborescens
7371,Hesperomannia arbuscula,Hesperomannia arbuscula
7372,Hesperomannia lydgatei,Hesperomannia lydgatei
7373,Hesperomannia,NA
7374,Heteromeles arbutifolia,Heteromeles arbutifolia
7376,Heteromeles,NA
7377,Heterospathe elata,Heterospathe elata
7381,Hevea brasiliensis,Hevea brasiliensis
7384,Hibiscadelphus bombycinus,Hibiscadelphus bombycinus
7385,Hibiscadelphus crucibracteatus,Hibiscadelphus crucibracteatus
7386,Hibiscadelphus distans,Hibiscadelphus distans
7387,Hibiscadelphus giffardianus,Hibiscadelphus giffardianus
7388,Hibiscadelphus hualalaiensis,Hibiscadelphus hualalaiensis
7389,Hibiscadelphus puakuahiwi,NA
7390,Hibiscadelphus,NA
7391,Hibiscadelphus wilderianus,Hibiscadelphus wilderianus
7392,Hibiscadelphus woodii,Hibiscadelphus woodii
7393,Hibiscus arnottianus,Hibiscus arnottianus
7397,Hibiscus brackenridgei,Hibiscus brackenridgei
7401,Hibiscus calyphyllus,Hibiscus calyphyllus
7402,Hibiscus clayi,Hibiscus clayii
7403,Hibiscus elatus,Hibiscus elatus
7404,Hibiscus kokio,Hibiscus kokio
7407,Hibiscus macrophyllus,Hibiscus macrophyllus
7408,Hibiscus mutabilis,Hibiscus mutabilis
7409,Hibiscus pernambucensis,Hibiscus tilliaceus
7410,Hibiscus rosa-sinensis,Hibiscus rosa-sinensis
7411,Hibiscus,NA
7412,Hibiscus tiliaceus,Hibiscus tilliaceus
7413,Hibiscus waimeae,Hibiscus waimeae
7418,Hirtella rugosa,Hirtella rugosa
7420,Hirtella triandra,Hirtella triandra
7422,Homalium racemosum,Homalium racemosum
7424,Homalium whitmeeanum,Homalium whitmeeanum
7427,Horsfieldia amklaal,Horsfieldia irya
7428,Horsfieldia novoguineensis,Horsfieldia novoguineensis
7429,Horsfieldia nunu,Horsfieldia irya
7430,Horsfieldia palauensis,Horsfieldia palauensis
7431,Horsfieldia,NA
7432,Hovenia dulcis,Hovenia dulcis
7433,Howeia forsteriana,Howea forsteriana
7434,Hura crepitans,Hura crepitans
7438,Hyeronima clusioides,Hieronyma clusioides
7440,Hylocereus,NA
7441,Hylocereus undatus,NA
7442,Hymenaea courbaril,Hymenaea courbaril
7445,Hypelate trifoliata,Hypelate trifoliata
7446,Hyperbaena laurifolia,Hyperbaena laurifolia
7448,Hypericum canariense,NA
7453,Ilex anomala,Ilex anomala
7454,Ilex aquifolium,Ilex aquifolium
7455,Ilex cassine,Ilex cassine
7456,Ilex cookii,Ilex cookii
7457,Ilex guianensis,Ilex guianensis
7458,Ilex macfadyenii,Ilex macfadyenii
7459,Ilex nitida,Ilex dioica
7460,Ilex paraguariensis,Ilex paraguariensis
7462,Ilex sideroxyloides,Ilex sideroxyloides
7463,Ilex sintenisii,Ilex sintenisii
7464,Ilex,NA
7465,Ilex urbaniana,Ilex urbaniana
7466,Ilex urbaniana,Ilex urbaniana
7467,Inga,NA
7469,Ilex vomitoria,Ilex vomitoria
7470,Inga laurina,Inga laurina
7471,Inga nobilis,Inga nobilis
7472,Inga edulis,Inga edulis
7474,Inga vera,Inga vera
7475,Inocarpus fagifer,Inocarpus fagifer
7477,Intsia bijuga,Intsia bijuga
7479,Ixora ferrea,Ixora ferrea
7481,Ixora thwaitesii,Ixora thwaitesii
7482,Jacaranda mimosifolia,Jacaranda mimosifolia
7483,Jacaranda,NA
7485,Jacquinia armillaris,Jacquinia armillaris
7487,Jacquinia berteroi,Jacquinia berteroi
7489,Juniperus chinensis,Juniperus chinensis
7490,Jacquinia umbellata,Bonellia umbellata
7491,Jatropha curcas,Jatropha curcas
7492,Jatropha hernandiifolia,Jatropha hernandiifolia
7493,Jatropha multifida,Jatropha multifida
7494,Jatropha,NA
7495,Juglans jamaicensis,Juglans jamaicensis
7496,Juglans regia,Juglans regia
7497,Kayea pacifica,Kayea pacifica
7499,Khaya anthotheca,Khaya anthotheca
7501,Khaya senegalensis,Khaya senegalensis
7503,Kigelia africana,Kigelia africana
7506,Kleinhovia hospita,Kleinhovia hospita
7507,Koelreuteria bipinnata,Koelreuteria bipinnata
7508,Koanophyllon polyodon,Koanophyllon polyodon
7509,Kokia cookei,Kokia cookei
7510,Kokia drynarioides,Kokia drynarioides
7511,Kokia kauaiensis,Kokia kauaiensis
7512,Kokia lanceolata,Kokia lanceolata
7513,Kokia,NA
7514,Krugiodendron ferreum,Krugiodendron ferreum
7515,Koelreuteria paniculata,Koelreuteria paniculata
7516,Kunzea ericoides,Kunzea ericoides
7517,Kunzea,NA
7518,Labordia fagraeoidea,Labordia fagraeoidea
7519,Labordia hedyosmifolia,Labordia hedyosmifolia
7520,Labordia hirtella,Labordia hirtella
7521,Labordia kaalae,Labordia kaalae
7522,Labordia lydgatei,Labordia lydgatei
7523,Labordia,NA
7524,Labordia tinifolia,Labordia tinifolia
7528,Labordia triflora,Labordia triflora
7529,Labordia waiolani,NA
7530,Laetia procera,Laetia procera
7531,Laburnum anagyroides,Laburnum anagyroides
7532,Lagerstroemia indica,Lagerstroemia indica
7533,Lagerstroemia speciosa,Lagerstroemia speciosa
7539,Lansium domesticum,NA
7541,Laplacea portoricensis,NA
7543,Latania loddigesii,Latania loddigesii
7550,Lawsonia inermis,Lawsonia inermis
7552,Leandra krugiana,Leandra krugiana
7556,Leptocereus quadricostatus,NA
7558,Leptospermum morrisonii,Leptospermum morrisonii
7559,Leptospermum petersonii,Leptospermum petersonii
7560,Leptospermum polygalifolim,NA
7561,Leptospermum scoparium,Leptospermum scoparium
7562,Leptospermum,NA
7564,Schleinitzia fosbergii,Schleinitzia fosbergii
7565,Leucaena leucocephala,Leucaena leucocephala
7566,Leucaena,NA
